id,name,link,osm_url,lat,lon,categories,bookable,link_ok,open_now,street,housenumber,postcode,city,address
node/3539685423,Rosenlunds Trädgård,https://rosenlundstradgard.com/,https://www.openstreetmap.org/node/3539685423,58.4625802,13.8483178,robot_mower_seller,,,,,5,54191,Skövde,54191 Skövde
node/3573218396,Gråbergs plant,https://www.grabergsplant.se/,https://www.openstreetmap.org/node/3573218396,64.7376398,20.5881618,robot_mower_seller,,,,,,,,
node/3576625295,Byggmax,https://www.byggmax.se/butiker/h%C3%A4rn%C3%B6sand,https://www.openstreetmap.org/node/3576625295,62.6504125,17.8935461,robot_mower_seller,,,,,,,,
node/3579152954,Granngården,https://www.granngarden.se/,https://www.openstreetmap.org/node/3579152954,60.6624436,17.1771811,robot_mower_seller,,,,Rälsgatan,8,80291,Gävle,"Rälsgatan 8, 80291 Gävle"
node/3596932169,Stolpens Trädgård,http://www.stolpenstradgard.se,https://www.openstreetmap.org/node/3596932169,59.370801,14.0112805,robot_mower_seller,,,,,,,,
node/3624788693,Byggfabriken,http://www.byggfabriken.com,https://www.openstreetmap.org/node/3624788693,57.6920197,11.9507944,robot_mower_seller,,,,Olivedalsgatan,19,413 10,Göteborg,"Olivedalsgatan 19, 413 10 Göteborg"
node/3665176802,Sunnansjö Järn & Bygghandel,http://www.sunnansjojarn.se,https://www.openstreetmap.org/node/3665176802,60.2168846,14.96033,robot_mower_seller,,,,Hyttvägen,20A,770 12,Sunnansjö,"Hyttvägen 20A, 770 12 Sunnansjö"
node/3693516314,Tant Grön,http://www.tant-gron.nu,https://www.openstreetmap.org/node/3693516314,59.2604431,14.9477141,robot_mower_seller,,,,Fårahagen,320,71931,Vintrosa,"Fårahagen 320, 71931 Vintrosa"
node/3710822363,Arnes Motortjänst,https://www.arnesmotor.com/,https://www.openstreetmap.org/node/3710822363,56.3371489,13.6642841,robot_mower_seller,,,,,,,,
node/3723834838,Elgiganten,https://www.elgiganten.se/store/elgiganten-bernstorp,https://www.openstreetmap.org/node/3723834838,55.61365,13.1046772,robot_mower_seller,,,,Vassvägen,23,23261,Arlöv,"Vassvägen 23, 23261 Arlöv"
node/3737668722,Sifvert Skruv,https://www.sifvert-skruv.se/,https://www.openstreetmap.org/node/3737668722,59.2939252,18.0081513,robot_mower_seller,,,,Elektravägen,53,126 30,Hägersten,"Elektravägen 53, 126 30 Hägersten"
node/3804150284,JULA,https://www.jula.se/,https://www.openstreetmap.org/node/3804150284,59.7465093,18.6778222,robot_mower_seller,,,,August Strindbergs gata,1,761 46,Norrtälje,"August Strindbergs gata 1, 761 46 Norrtälje"
node/3849806966,Plantagen,https://www.plantagen.se/butiker/butik/?sid=330,https://www.openstreetmap.org/node/3849806966,59.3768499,13.4432847,robot_mower_seller,,,,,,,,
node/3978808393,Byggmax,https://www.byggmax.se/butiker/sthlm-bromma,https://www.openstreetmap.org/node/3978808393,59.3467575,17.9488699,robot_mower_seller,,,,Linta gårdsväg,5,168 74,Bromma,"Linta gårdsväg 5, 168 74 Bromma"
node/4083452539,Borgunda Bygghandel,https://www.borgunda.se/kontakt-skovde/,https://www.openstreetmap.org/node/4083452539,58.4113781,13.8814239,robot_mower_seller,,,,Jonstorpsgatan,27,54166,Skövde,"Jonstorpsgatan 27, 54166 Skövde"
node/4158085829,Granngården,http://www.granngarden.se/store/Malmö,https://www.openstreetmap.org/node/4158085829,55.5501958,12.9985239,robot_mower_seller,,,,,,,,
node/4158085842,Jula,https://www.jula.se/vara-varuhus/malmo-svagertorp/,https://www.openstreetmap.org/node/4158085842,55.5504606,12.9984899,robot_mower_seller,,,,Nornegatan,10C,215 86,Malmö,"Nornegatan 10C, 215 86 Malmö"
node/4158085845,Elgiganten,https://www.elgiganten.se/store/elgiganten-svagertorp,https://www.openstreetmap.org/node/4158085845,55.5487374,12.9970382,robot_mower_seller,,,,Nornegatan,12,215 86,Malmö,"Nornegatan 12, 215 86 Malmö"
node/4200844998,Jula,https://www.jula.se/vara-varuhus/malmo-stora-bernstorp/,https://www.openstreetmap.org/node/4200844998,55.6136211,13.1019629,robot_mower_seller,,,,Vassvägen,21,23291,Arlöv,"Vassvägen 21, 23291 Arlöv"
node/4239105802,Elgiganten,https://www.elgiganten.se/store/elgiganten-boras,https://www.openstreetmap.org/node/4239105802,57.7330903,12.935981,robot_mower_seller,,,,Ålgårdsvägen,4,506 30,Borås,"Ålgårdsvägen 4, 506 30 Borås"
node/4278612206,NA Svensson Woody Bygghandel,https://nasvensson-trosavagnharad.woody.se/,https://www.openstreetmap.org/node/4278612206,58.9553245,17.4923906,robot_mower_seller,,,,,,,,
node/4333956374,Bröderna,https://www.brodernaibromolla.se,https://www.openstreetmap.org/node/4333956374,56.0724427,14.4683538,robot_mower_seller,,,,Storgatan,,,Bromölla,"Storgatan, Bromölla"
node/4359323317,Elgiganten,https://www.elgiganten.se,https://www.openstreetmap.org/node/4359323317,59.1979371,18.1288651,robot_mower_seller,,,,,,,,
node/4364720715,Storex,http://www.storex.se/,https://www.openstreetmap.org/node/4364720715,57.7420766,11.9954039,robot_mower_seller,,,,,,,,
node/4383586819,Bad & Värme,https://www.bad-varme.se/,https://www.openstreetmap.org/node/4383586819,56.5197774,14.9853123,robot_mower_seller,,,,,,,,
node/4403995948,Clas Ohlson,https://jobb.clasohlson.com/locations/butik-kiruna,https://www.openstreetmap.org/node/4403995948,67.8478153,20.2532597,robot_mower_seller,,,,Österleden,4,,,Österleden 4
node/4417239403,Elon,https://www.elon.se/,https://www.openstreetmap.org/node/4417239403,59.4227384,18.0486994,robot_mower_seller,,,,Sunnanängsvägen,5,,,Sunnanängsvägen 5
